ID|BRAND|MODEL|VARIANT|ENGINE|TRANSMISSION|FUEL|MILEAGE|PRICE|SEATS|URL
1|Maruti|Swift|LXI|1197|Manual|Petrol|22|5.14|5|https://www.cardekho.com/maruti/swift
2|Maruti|Swift|LDI|1248|Manual|Diesel|28.4|5.99|5|https://www.cardekho.com/maruti/swift
3|Maruti|Swift|VXI|1197|Manual|Petrol|22|6.14|5|https://www.cardekho.com/maruti/swift
4|Maruti|Swift|VDI|1248|Manual|Diesel|28.4|7.03|5|https://www.cardekho.com/maruti/swift
5|Maruti|Baleno|Sigma|1197|Manual|Petrol|21.4|5.58|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno
6|Maruti|Baleno|Delta|1197|Manual|Petrol|21.4|6.36|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno
7|Maruti|Baleno|Sigma Diesel|1246|Manual|Diesel|27.39|6.73|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno
8|Maruti|Baleno|Alpha Diesel|1248|Manual|Diesel|27.39|8.73|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno
9|Maruti|Vitara Brezza|LDi|1248|Manual|Diesel|24.3|7.74|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Vitara_Brezza
10|Maruti|Vitara Brezza|VDi|1248|Manual|Diesel|24.3|8.4|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Vitara_Brezza
11|Maruti|Vitara Brezza|VDi AMT|1248|Automatic|Diesel|24.3|8.9|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Vitara_Brezza
12|Maruti|Dzire|LXI 1.2|1197|Manual|Petrol|22|5.82|5|https://www.cardekho.com/maruti/swift-dzire
13|Maruti|Dzire|LDI|1248|Manual|Diesel|28.4|6.71|5|https://www.cardekho.com/maruti/swift-dzire
14|Maruti|Dzire|VXI 1.2|1197|Manual|Petrol|22|6.73|5|https://www.cardekho.com/maruti/swift-dzire
15|Maruti|Dzire|ZXI 1.2|1197|Manual|Petrol|22|7.32|5|https://www.cardekho.com/maruti/swift-dzire
16|Maruti|Dzire|VDI|1248|Manual|Diesel|28.4|7.62|5|https://www.cardekho.com/maruti/swift-dzire
17|Maruti|Dzire|AMI ZXI|1197|Automatic|Petrol|22|7.79|5|https://www.cardekho.com/maruti/swift-dzire
18|Hyundai|Venue|E|1197|Manual|Petrol|17.52|6.5|5|https://www.cardekho.com/hyundai/venue
19|Hyundai|Venue|S|1197|Manual|Petrol|17.52|7.2|5|https://www.cardekho.com/hyundai/venue
20|Hyundai|Venue|E Diesel|1396|Manual|Diesel|23.7|7.75|5|https://www.cardekho.com/hyundai/venue
21|Hyundai|Venue|S Turbo|998|Manual|Petrol|18.27|8.21|5|https://www.cardekho.com/hyundai/venue
22|Hyundai|Venue|S Diesel|1396|Manual|Diesel|23.7|8.45|5|https://www.cardekho.com/hyundai/venue
23|Hyundai|Venue|S Turbo DCT|998|Automatic|Petrol|18.15|9.35|5|https://www.cardekho.com/hyundai/venue
24|Hyundai|Venue|SX Turbo|998|Manual|Petrol|18.27|9.54|5|https://www.cardekho.com/hyundai/venue
25|Hyundai|Venue|SX Dual Tone Diesel|1396|Manual|Diesel|23.7|9.93|5|https://www.cardekho.com/hyundai/venue
26|Hyundai|Venue|SX Opt Turbo|998|Manual|Petrol|18.27|10.6|5|https://www.cardekho.com/hyundai/venue
27|Hyundai|Venue|SX Opt Diesel|1396|Manual|Diesel|23.7|10.84|5|https://www.cardekho.com/hyundai/venue
28|Hyundai|Venue|SX Plus Turbo DCT|998|Automatic|Petrol|18.15|11.1|5|https://www.cardekho.com/hyundai/venue
29|Hyundai|Elite i20|Era|1197|Manual|Petrol|18.6|5.52|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
